"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 10:33:56 UTC 2022","Tue Jun 28 10:36:41 UTC 2022","164692","Suite","Running ClearSkye RVS Creation Tests","com.clearskye.test.automation.tests.ClearSkyeRequestVariableSettingsTest","com.clearskye.test.automation.tests.ClearSkyeRequestVariableSettingsTest","testMain","testMain",""
"passed","Tue Jun 28 10:23:27 UTC 2022","Tue Jun 28 10:26:02 UTC 2022","155494","Suite","Running ClearSkye Review Campaigns Tests","com.clearskye.test.automation.tests.ClearSkyeReviewCampaignsTest","com.clearskye.test.automation.tests.ClearSkyeReviewCampaignsTest","testMain","testMain",""
"passed","Tue Jun 28 09:57:59 UTC 2022","Tue Jun 28 10:01:12 UTC 2022","193299","Suite","Running ClearSkye Identity Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNewIdentityTest","com.clearskye.test.automation.tests.ClearSkyeNewIdentityTest","testMain","testMain",""
"passed","Tue Jun 28 10:55:52 UTC 2022","Tue Jun 28 10:58:14 UTC 2022","141941","Suite","Running ClearSkye Naming Convention Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNamingConventionTest","com.clearskye.test.automation.tests.ClearSkyeNamingConventionTest","testMain","testMain",""
"passed","Tue Jun 28 10:06:00 UTC 2022","Tue Jun 28 10:09:55 UTC 2022","234747","Suite","Running ClearSkye Change an Identity Tests","com.clearskye.test.automation.tests.ClearSkyeChangeIdentityTest","com.clearskye.test.automation.tests.ClearSkyeChangeIdentityTest","testMain","testMain",""
"passed","Tue Jun 28 10:26:03 UTC 2022","Tue Jun 28 10:29:32 UTC 2022","209677","Suite","Running ClearSkye Access Review Tests","com.clearskye.test.automation.tests.ClearSkyeAccessReviewsTest","com.clearskye.test.automation.tests.ClearSkyeAccessReviewsTest","testMain","testMain",""
"passed","Tue Jun 28 10:42:37 UTC 2022","Tue Jun 28 10:49:24 UTC 2022","406763","Suite","Running ClearSkye Environment Creation Tests","com.clearskye.test.automation.tests.ClearSkyeEnvironmentsTest","com.clearskye.test.automation.tests.ClearSkyeEnvironmentsTest","testMain","testMain",""
"passed","Tue Jun 28 10:29:33 UTC 2022","Tue Jun 28 10:31:36 UTC 2022","123745","Suite","Running ClearSkye Guided Setup Tests","com.clearskye.test.automation.tests.ClearSkyeGuidedSetupTest","com.clearskye.test.automation.tests.ClearSkyeGuidedSetupTest","testMain","testMain",""
"passed","Tue Jun 28 10:52:50 UTC 2022","Tue Jun 28 10:55:52 UTC 2022","181999","Suite","Running ClearSkye Alert Creation Tests","com.clearskye.test.automation.tests.ClearSkyeAlertsTest","com.clearskye.test.automation.tests.ClearSkyeAlertsTest","testMain","testMain",""
"passed","Tue Jun 28 09:51:12 UTC 2022","Tue Jun 28 09:57:58 UTC 2022","406401","Suite","Running ClearSkye Profile Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNewProfileTest","com.clearskye.test.automation.tests.ClearSkyeNewProfileTest","testMain","testMain",""
"passed","Tue Jun 28 11:02:02 UTC 2022","Tue Jun 28 11:12:11 UTC 2022","609315","Suite","Running ClearSkye Delete Records Tests","com.clearskye.test.automation.tests.ClearSkyeDeleteRecordsTest","com.clearskye.test.automation.tests.ClearSkyeDeleteRecordsTest","testMain","testMain",""
"passed","Tue Jun 28 10:09:55 UTC 2022","Tue Jun 28 10:13:11 UTC 2022","195711","Suite","Running ClearSkye Entitlement Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNewEntitlementTest","com.clearskye.test.automation.tests.ClearSkyeNewEntitlementTest","testMain","testMain",""
"passed","Tue Jun 28 10:31:37 UTC 2022","Tue Jun 28 10:33:55 UTC 2022","138892","Suite","Running ClearSkye Access Policies Tests","com.clearskye.test.automation.tests.ClearSkyeAccessPoliciesTest","com.clearskye.test.automation.tests.ClearSkyeAccessPoliciesTest","testMain","testMain",""
"passed","Tue Jun 28 10:03:35 UTC 2022","Tue Jun 28 10:06:00 UTC 2022","144946","Suite","Running ClearSkye Account Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNewAccountTest","com.clearskye.test.automation.tests.ClearSkyeNewAccountTest","testMain","testMain",""
"passed","Tue Jun 28 10:13:12 UTC 2022","Tue Jun 28 10:18:06 UTC 2022","294755","Suite","Running ClearSkye Create a Role Tests","com.clearskye.test.automation.tests.ClearSkyeNewRoleTest","com.clearskye.test.automation.tests.ClearSkyeNewRoleTest","testMain","testMain",""
"passed","Tue Jun 28 10:39:32 UTC 2022","Tue Jun 28 10:42:37 UTC 2022","185173","Suite","Running ClearSkye Object Category Creation Tests","com.clearskye.test.automation.tests.ClearSkyeObjectCategoryTest","com.clearskye.test.automation.tests.ClearSkyeObjectCategoryTest","testMain","testMain",""
"passed","Tue Jun 28 10:36:41 UTC 2022","Tue Jun 28 10:39:31 UTC 2022","170368","Suite","Running ClearSkye Connector Creation Tests","com.clearskye.test.automation.tests.ClearSkyeNewConnectorsTest","com.clearskye.test.automation.tests.ClearSkyeNewConnectorsTest","testMain","testMain",""
"passed","Tue Jun 28 10:01:12 UTC 2022","Tue Jun 28 10:03:35 UTC 2022","142345","Suite","Running ClearSkye Identity Approval Test","com.clearskye.test.automation.tests.ClearSkyeApprovalsTest","com.clearskye.test.automation.tests.ClearSkyeApprovalsTest","testMain","testMain",""
